Course,CreditHours,Prerequisite,Corequisite
MATH101,4,-,PHYS101
PHYS101,4,-,MATH101
CHEM101,4,-,-
ENGL101,3,-,-
ICS 104,3,-,-
MATH102,4,MATH101,PHYS102
PHYS102,4,PHYS101,MATH102
ENGL102,3,ENGL101,-
ICS 108,3,ICS 104,-
IAS 111,2,-,-
MATH201,3,MATH101,-
COE 202,3,PHYS102,COE 203
COE 203,1,-,COE 202
ISE 291,3,ICS 104,-
ICS 202,3,ICS 108,-
STAT319,3,MATH102,-
COE 241,3,MATH102,-
COE 301,4,COE 202;ICS 104,-
COE 292,3,ISE 291,-
ICS 253,3,ICS 104;MATH101,-
IAS 121,3,-,-
MATH208,3,MATH102,-
COE 344,4,STAT319;COE 241,-
COE 302,4,COE 202,-
ENGL214,3,ENGL102,-
EE  236,3,MATH102;PHYS102,EE  237
EE  237,1,-,EE  236
COE 384,3,COE 302,-
COE 346,3,COE 344,-
COE 306,3,COE 301;EE 236,-
