Course-Sec,Activity,CRN,Course Name,Instructor,Day,Time,Location,Status,Waitlist
ACCT110-01,LEC,21684,Introduction to Financial Accounting,ABDULLAH ALHARBI,MW,1230-1345,24-174,Open,Closed
ACCT110-02,LEC,21083,Introduction to Financial Accounting,ABDULLAH ALHARBI,MW,1400-1515,24-174,Open,Closed
ACCT110-03,LEC,21084,Introduction to Financial Accounting,M AMR,UT,1100-1215,24-244,Open,Closed
ACCT210-01,LEC,21087,Introduction to Managerial Accounting,MIRGHANI AHMED,UT,1100-1215,24-174,Closed,Open
ACCT210-02,LEC,21088,Introduction to Managerial Accounting,M AMR,UT,1230-1345,24-137,Closed,Closed
ACCT210-04,LEC,21090,Introduction to Managerial Accounting,WALID CHEFFI,MW,1230-1345,24-244,Open,Closed
ACCT210-05,LEC,21982,Introduction to Managerial Accounting,MIRGHANI AHMED,UT,1400-1515,24-250,Closed,Closed
ACCT210-F03,LEC,21089,Introduction to Managerial Accounting,None,MW,0800-0915,7-114,Open,Closed
ACCT300-01,LEC,21685,Accounting Information Systems,MUHUMMUD IQBAL KHADAROO,UT,1000-1050,24-236A,Open,Closed
ACCT300-01,LAB,21685,Accounting Information Systems,MUHUMMUD IQBAL KHADAROO,R,0800-0950,24-284,Open,Closed
ACCT301-01,LEC,22515,Intermediate Accounting I,JIHAD AL OKAILY,MW,1100-1215,24-135,Open,Closed
ACCT301-02,LEC,22516,Intermediate Accounting I,JIHAD AL OKAILY,MW,1230-1345,24-125,Open,Closed
ACCT302-01,LEC,20380,Intermediate Accounting II,JIHAD AL OKAILY,MW,0930-1045,24-146,Closed,Closed
ACCT311-01,LEC,21091,Auditing,ABDULLAH ALHARBI,MW,1100-1215,24-250,Open,Closed
ACCT351-01,COP,20381,Cooperative Work,M AMR,None,None,None,Open,Closed
ACCT398-01,INT,23916,Internship,M AMR,None,None,None,Open,Closed
ACCT403-03,LEC,24573,Advanced Accounting,None,MW,1230-1345,24-240,Open,Closed
ACCT403-04,LEC,24574,Advanced Accounting,None,UT,1100-1215,24-146,Closed,Open
ACCT407-01,LEC,23418,Financial Statement Analysis,MAHMUD HOSSAIN,MW,1400-1515,24-125,Open,Closed
ACCT410-01,LEC,21207,Cost Accounting,MIRGHANI AHMED,UT,1230-1345,24-244,Open,Closed
ACCT421-01,LEC,24386,Oil & Gas Accounting,WALID CHEFFI,MW,1100-1215,24-151,Open,Closed
ACCT508-01,LEC,23419,Financial Accounting,Y FALLATAH,UT,1845-2000,24-151,Open,Closed
ACCT508-02,LEC,24267,Financial Accounting,Y FALLATAH,UT,2010-2125,24-149,Open,Closed
ACCT510-01,LEC,21984,Managerial Accounting,HAIDER MADANI,MW,1845-2000,24-236A,Closed,Closed
ACCT510-02,LEC,23547,Managerial Accounting,HAIDER MADANI,MW,2010-2125,24-236A,Closed,Closed
ECON101-01,LEC,20203,Principles Of Microeconomics,MUHAMMAD CHAUDHRY,UT,1230-1345,24-125,Open,Closed
ECON101-02,LEC,20204,Principles Of Microeconomics,MUHAMMAD CHAUDHRY,UT,1400-1515,24-180,Open,Closed
ECON101-03,LEC,20205,Principles Of Microeconomics,HUSSAIN AL SHAMMASI,MW,0930-1045,24-180,Closed,Open
ECON102-01,LEC,21097,Principles of Macroeconomics,FAZLUL MIAH,MW,0930-1045,24-249,Open,Closed
ECON102-02,LEC,21098,Principles of Macroeconomics,FAZLUL MIAH,MW,1230-1345,24-115,Closed,Open
ECON102-03,LEC,21099,Principles of Macroeconomics,MOHAMMAD AKIMAYA,UT,1530-1645,24-137,Closed,Closed
ECON102-F04,LEC,21687,Principles of Macroeconomics,None,UT,1230-1345,7-119,Open,Closed
ECON301-01,LEC,23421,Intermediate Microeconomic Theory,HUSSAIN AL SHAMMASI,MW,1100-1215,24-180,Open,Closed
ECON305-01,LEC,24268,Money & Banking,FAZLUL MIAH,MW,1100-1215,24-240,Closed,Open
ECON306-01,LEC,22517,Economy of Saudi Arabia,IBRAHIM ALGAHTANI,UT,1100-1215,24-180,Closed,Closed
ECON306-02,LEC,22518,Economy of Saudi Arabia,IBRAHIM ALGAHTANI,UT,1230-1345,24-156,Closed,Open
ECON306-03,LEC,22519,Economy of Saudi Arabia,IBRAHIM ALGAHTANI,UT,1400-1515,24-174,Closed,Open
ECON306-04,LEC,24269,Economy of Saudi Arabia,ABDULLAH ِALMEER,UT,1100-1215,24-236A,Open,Closed
ECON306-05,LEC,24270,Economy of Saudi Arabia,ABDULLAH ِALMEER,UT,1230-1345,24-236A,Open,Closed
ECON306-06,LEC,24271,Economy of Saudi Arabia,ABDULLAH ِALMEER,UT,1400-1515,24-236A,Open,Closed
ECON401-01,LEC,23772,Managerial Economics,MEHMET SOYTAS,UT,1530-1645,24-149,Open,Closed
ECON510-01,LEC,20207,Managerial Economics,MEHMET SOYTAS,UT,1720-1835,24-156,Open,Closed
ECON520-01,LEC,24272,Microeconomic Analysis,MUHAMMAD CHAUDHRY,UT,1720-1835,24-158,Open,Closed
ECON575-01,LEC,22897,"Energy Markets, Policies and Regulations",MOHAMMAD AKIMAYA,UT,2010-2125,24-156,Closed,Closed
FIN 250-01,LEC,21100,Financial Management,HESHAM MERDAD,UT,1400-1515,24-240,Closed,Open
FIN 250-02,LEC,21101,Financial Management,MANSOUR AL-SAHLAWI,UT,1230-1345,24-240,Open,Closed
FIN 250-03,LEC,21102,Financial Management,MANSOUR AL-SAHLAWI,MW,0930-1045,24-250,Open,Closed
FIN 250-04,LEC,23548,Financial Management,MANSOUR AL-SAHLAWI,MW,1100-1215,24-244,Open,Closed
FIN 315-01,LEC,22520,Corporate Finance,MANSOUR AL-SAHLAWI,UT,1400-1515,24-244,Open,Closed
FIN 315-02,LEC,22521,Corporate Finance,None,MW,1100-1215,24-121,Open,Closed
FIN 320-01,LEC,21163,Investments,BASEL AWARTANI,MW,1400-1515,24-146,Open,Closed
FIN 351-01,COP,20206,Cooperative Work,M AMR,None,None,None,Open,Closed
FIN 398-01,INT,23927,Internship,M AMR,None,None,None,Open,Closed
FIN 410-01,LEC,23771,International Financial Management,TONMOY CHOUDHURY,UT,1400-1515,24-249,Closed,Open
FIN 425-01,LEC,24273,Financial Modeling,TONMOY CHOUDHURY,UT,1530-1645,24-284,Closed,Open
FIN 425-03,LEC,24528,Financial Modeling,BASEL AWARTANI,MW,1530-1645,24-153,Open,Closed
FIN 440-01,LEC,22522,Islamic Finance,ADNAN BAKATHER,MW,1100-1215,24-249,Open,Closed
FIN 450-01,LEC,24274,Financial Policy,MOHAMMED ALZAHRANI,UT,1530-1645,24-156,Closed,Open
FIN 460-01,LEC,24275,Derivatives,None,MW,1230-1345,24-116,Closed,Closed
FIN 523-01,LEC,24276,Investment Analysis,OMAR CAMARA,UT,1720-1835,24-165,Open,Closed
FIN 526-01,LEC,24277,Mergers and Acquisitions,None,MW,1720-1835,24-158,Closed,Closed
AE  211-01,LEC,23114,Fundamentals of Thermo-Fluids,QASEM NAYEF,UTR,1400-1450,63-024,Closed,Open
AE  221-01,LEC,23118,Introduction to Aerospace Engineering,NAVEED AHMED SYED,UT,0800-0850,63-033,Open,Closed
AE  221-01,LAB,23118,Introduction to Aerospace Engineering,NAVEED AHMED SYED,R,0800-1040,None,Open,Closed
AE  221-02,LEC,23559,Introduction to Aerospace Engineering,NAVEED AHMED SYED,UT,0800-0850,63-033,Open,Closed
AE  221-02,LAB,23559,Introduction to Aerospace Engineering,NAVEED AHMED SYED,M,1300-1540,75-132,Open,Closed
AE  228-01,LEC,23115,Introduction to AE Structures and Materials,G WAEL,UTR,1100-1150,63-031,Closed,Open
AE  312-01,PRJ,23979,Fundamentals of AE Design,G WAEL,None,None,None,Closed,Closed
AE  313-01,LEC,20848,AE Systems and Control,SAAD AZHAR ALI SYED,UT,0800-0850,63-128,Closed,Open
AE  313-01,LAB,20848,AE Systems and Control,SAAD AZHAR ALI SYED,M,1300-1540,75-111,Closed,Open
AE  313-02,LEC,23862,AE Systems and Control,SAAD AZHAR ALI SYED,UT,0800-0850,63-128,Open,Closed
AE  313-02,LAB,23862,AE Systems and Control,SAAD AZHAR ALI SYED,R,0700-0940,75-111,Open,Closed
AE  325-01,LEC,20214,Gas Dynamics I,NAVEED AHMED SYED,MW,0800-0915,63-034,Open,Closed
AE  325-02,LEC,24410,Gas Dynamics I,NAVEED AHMED SYED,UTR,1000-1050,63-123,Closed,Open
AE  328-01,LEC,20215,Flight Structures I,SUHAIL HYDER,UTR,1100-1150,63-022,Closed,Open
AE  328-02,LEC,23975,Flight Structures I,SUHAIL HYDER,UTR,1300-1350,63-135,Open,Closed
AE  333-01,LEC,21771,Aerodynamics I,SALMAN AL-FIFI,MW,1130-1245,63-032,Closed,Open
AE  333-02,LEC,24411,Aerodynamics I,SALMAN AL-FIFI,MW,1000-1115,63-024,Open,Closed
AE  351-01,COP,20216,Aerospace Engineering Cooperative  Work,SALMAN AL-FIFI,None,None,HANGAR-WORKSHOP,Open,Closed
AE  355-01,LAB,20849,Experimental & Computational Methods for Aerospace Engineering,SHERIF MOHAMED,T,1400-1640,75-111,Closed,Closed
AE  355-02,LAB,24412,Experimental & Computational Methods for Aerospace Engineering,SHERIF MOHAMED,R,1400-1640,75-111,Open,Closed
AE  357-01,LAB,23976,AE Numerical Methods Lab,SHERIF MOHAMED,T,1400-1640,75-111,Closed,Closed
AE  357-02,LAB,24413,AE Numerical Methods Lab,SHERIF MOHAMED,R,1400-1640,75-111,Open,Closed
AE  398-01,INT,23917,Internship,SALMAN AL-FIFI,None,None,None,Open,Closed
AE  403-01,LEC,23977,Aerospace Materials,MOHD KHAN,UTR,1300-1350,63-037,Closed,Open
AE  410-01,LEC,23560,Astronautics,MOHAMMED GHAZY,UTR,1000-1050,63-221,Closed,Open
AE  411-01,PRJ,20217,Senior Design Project I,G WAEL,None,None,HANGAR-WORKSHOP,Open,Closed
AE  412-01,PRJ,20218,Senior Design,G WAEL,None,None,HANGAR-WORKSHOP,Open,Closed
AE  421-01,LAB,20220,Aerospace Engineering Lab,KAMRAN AHMED,M,0700-0940,75-132,Closed,Open
AE  421-02,LAB,24414,Aerospace Engineering Lab,KAMRAN AHMED,W,1300-1540,75-132,Open,Closed
AE  422-01,LEC,20221,Flight Propulsion I,MEDHAT NEMITALLAH,UTR,0900-0950,63-034,Closed,Open
AE  426-01,LEC,20222,Flight Dynamics I,MOHAMMED GHAZY,UTR,0800-0850,63-038,Closed,Open
AE  427-01,LEC,20223,Aerospace Vehicle Design,G WAEL,MW,1000-1115,63-032,Closed,Closed
AE  454-01,LEC,22779,UAS Design and Integration,MOHAMMED MUQEETH,MW,1550-1705,63-026,Closed,Closed
AE  490-01,LEC,23117,ST in AE I: Digital Techniques For AE Applications,SAAD AZHAR ALI SYED,UT,1550-1705,63-026,Open,Closed
AE  520-01,LEC,22358,Aerodynamics of Compressible Flow,QASEM NAYEF,UT,1850-2005,63-022,Open,Closed
AE  540-01,LEC,23978,Flight Dynamics and Control I,Ayman Abdallah,UT,1550-1705,63-024,Open,Closed
AE  599-01,SEM,20224,Seminar,Ayman Abdallah,None,None,None,Open,Closed
AE  610-01,THS,20225,M.S Thesis,Ayman Abdallah,None,None,None,Open,Closed
ARC 103-01,STD,22382,Design Studio II,JASIM AZHAR,UT,1300-1600,19-C01,Open,Closed
ARC 114-02,LAB,24470,Architectural Communication II,JASIM AZHAR,MW,0900-1150,None,Open,Closed
ARC 122-01,LEC,22384,Historyof Architecture II,NICOLA DELLEDONNE,UTR,0800-0850,19-401,Open,Closed
ARC 205-01,STD,22458,Architectural Design Studio lV,OMAR ASFOUR,UTR,1300-1610,19-C02,Open,Closed
ARC 214-02,LAB,24472,Digital Communication ll,ZIAD ASHOUR,MW,0900-1150,None,Open,Closed
ARC 229-02,LEC,24471,Theory of Architecture II,NICOLA DELLEDONNE,MW,0800-0850,19-416,Open,Closed
ARC 232-02,LEC,24473,Structure in Architecture II,AHMED ABD EL-FATTAH,UTR,1000-1050,19-405,Open,Closed
ARC 307-01,STD,22462,Architectural Design Studio VI,MAHMOUD HALLAK,UTR,1300-1610,19-C03,Open,Closed
ARC 345-01,LAB,22463,Working Drawings,AHMED ABD EL-FATTAH,MW,1300-1540,19-452,Open,Closed
ARC 356-01,LEC,22464,Principles of Sustainable Design,JAMAL AL-QAWASMI,UTR,1100-1150,19-401,Open,Closed
ARC 357-01,LEC,22465,Urban Design,OMAR AL-MAHDI,MW,1100-1215,19-413,Open,Closed
ARC 409-01,STD,22654,Architectural Design Studio Vlll: Senior Project,SHARIF ZAMI,UTR,1300-1740,19-C04,Open,Closed
ARC 455-01,LEC,24475,Crit.Creat.Thinking/Designers,MAHMOUD HALLAK,UTR,0900-0950,24-149,Open,Closed
ARC 491-02,LEC,24474,Professional Practice,ZIAD ASHOUR,UTR,1000-1050,19-413,Open,Closed
ARC 499-01,LEC,24477,Special Topics in Arch.,NICOLA DELLEDONNE,UTR,0900-0950,3-114,Open,Closed
ARC 502-01,LEC,23060,Integrative Processes in Design and Building Delivery,AHMED ABD EL-FATTAH,MW,1720-1835,19-450,Open,Closed
ARC 510-01,LEC,23061,Energy-Efficient Buildings,OMAR ASFOUR,UT,1720-1835,19-410,Open,Closed
ARC 513-01,LEC,23958,ARC & Social Sustainability,JAMAL AL-QAWASMI,MW,1720-1835,19-401,Open,Closed
ARC 514-01,LEC,24066,Sustainable Neighborhood & Urb,HABIB AL-SHUWAIKHAT,UT,1720-1835,59-1013,Closed,Closed
ARC 532-01,LEC,23063,Behaviorally Informed Design,JAMAL AL-QAWASMI,MW,1845-2000,24-149,Open,Closed
ARC 599-01,SEM,23064,Graduate Seminar,SHARIF ZAMI,None,None,None,Open,Closed
ARE 202-01,LEC,23383,Architectural Design & History,MOHAMMED QANNAN,UT,1300-1430,19-450,Open,Closed
ARE 202-01,LAB,23383,Architectural Design & History,MOHAMMED QANNAN,T,1431-1700,19-325,Open,Closed
